CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DCW,0,0,0,0,0,0,0,0,0,30.48,19.5,14.84,39.34,30.02,81.1,128.89,195.15,180.31,346.2,154.57,348.17,216.75,206.76,265.4,248.61,358.67,528.33,671.13,681.75,483.96,190.81,683.9
Diamines & Chem.,0,0,0,0,0,0,0,0,0,3.82,3.97,5.64,2.8,4.56,8.51,21.26,42.45,35.37,25.75,14.7,31.79,47.56,39.66,24.06,20.49,26.6,32.91,54.13,84.11,117.65,144.65,258.34
Dunlop India,0,0,0,0,0,0,0,0,0,31.33,0,12.34,0,0,0,0,0,0,0,0,489.82,383.29,70.11,0,74.53,134.79,0,0,0,0,0,0
Fermenta Biotec.,0,0,0,0,0,0,0,0,0,111.07,92.75,58.62,30.89,27.11,44.53,44.25,68.55,51.22,43.51,24.67,57.25,88.68,115.85,111.66,116.5,136.26,159.84,176.09,654.24,754.97,626.14,736.66
EID Parry,0,0,0,0,0,0,0,0,0,181.41,184.7,103.98,128.16,134.32,358.25,952.83,2550.32,1144.63,1548.49,1247.16,2946.26,3713.41,3293.19,2619.42,2361.87,3092.58,3833.64,4985.94,4893.03,3642.56,2473.5,5644.25
P & G Health Ltd,0,0,0,0,0,0,0,0,0,1221.09,522.66,786.1,510.35,391.24,627.61,722.7,984.12,660.57,564.64,609.49,1032.44,993.93,1002.64,1049.87,1071.45,1513.92,1066.96,1728.14,2497.72,6098.26,6049.79,10279.63
EIH,151.04,113.28,542.8,453.12,1121.57,1318.2,2129.4,2302.54,2051.07,1111.19,749.18,1100.45,1122.46,812.57,1429.72,1650.29,3738.55,3693.73,5383.42,3397.05,4758.62,4618.28,4892.63,3160.78,4163.88,6124.37,5992.91,6881.7,9093.67,11577.14,3760.93,5797.13
Eicher Motors,17.5,40,80,22.5,32.5,102.5,98,43,25.6,25.9,82,46,85,138,463.4,870.79,857.87,695.65,703.51,615.17,1727.38,3594.04,5352.79,6870.15,16109.63,43074.02,51986.1,69533.48,77233.91,56035.07,35735.22,71169.84
Elecon Engg.Co,0,0,0,0,0,0,0,0,0,29.1,19.49,8.16,6.22,4.35,14.89,97.07,787.09,1204.95,1756.72,288.76,673.63,632.31,568.71,286.91,368.25,726.7,593.78,592.98,863.38,709.66,213.74,710.79
Electrost.Cast.,0,0,0,0,0,0,0,0,0,260.98,662.56,162.23,294.74,349.87,476.47,680.55,764.49,789.71,1248.22,426.35,1732.04,1022.88,660.14,506.54,563.14,678.22,674.65,1233.28,870.97,810.96,397.02,1082.39
Elgi Equipments,25,25,90,30,49,90,105,102,58.2,72.54,61.5,63.9,121.6,127.47,408.6,343.3,590.41,400.38,374.58,263.53,713.97,1437.18,1189.2,1188.41,1640.8,2313.44,2053.57,3432.12,4036.63,3873.42,1773.11,6027.61
Elpro Internatio,0,0,0,0,0,0,0,0,0,9.84,30.53,9.59,8.62,5.7,6.84,42.61,62.62,73.59,234.96,102.7,327.33,173.34,160.17,157.64,145.21,322.24,196.11,379.77,738.93,785.54,555.89,701.64
Eicher,0,0,0,0,0,0,0,0,0,82.48,57.68,24.29,31.37,50.09,182.36,170.5,92.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE T&D India,0,0,0,0,0,0,0,0,0,202.38,115.42,65.82,76.19,91.55,137.42,280.83,3434.73,4334.85,7398.23,4858.51,7285.38,5915.33,4495.08,3520.75,6319.31,14800.97,11386.54,8463.73,10364.9,7031.13,1858.92,2985.54
Escorts,296.63,491.55,0,262.73,254.25,449.17,432,478.93,560.9,444.94,1069,577.48,446.38,255.69,451.8,587.23,658.02,834.26,724.07,320.21,1404.9,1492.94,725.08,607.37,1411.47,1557.34,1704.43,6605.67,10031.08,9767.54,8126.23,17378.15
EPL Ltd,0,0,0,0,0,0,0,0,0,412.95,638.82,538.06,864.55,393.28,655.78,980.79,1408.46,1080.54,577.85,197.32,679.64,801.01,436.91,483.87,908.04,1959.04,2530.1,3725.45,3780.81,3680.47,4876.87,7436.3
Everest Inds.,0,0,0,0,0,0,0,0,0,66.82,68.01,25.83,28.93,34.71,102.93,217.63,272.54,130.76,143.56,73.11,258.91,219.11,191.82,308.13,223.44,488.4,365.18,350.33,754.35,728.42,207.42,447.82
